ID,Address,Area,PostCode
147436,"Tupul Electronics"," House 81/1"," Road Malibagh 1st Ln",Malibagh,1217
147442,"Dental Park"," House N/A"," Road Malibagh 1st Ln",Malibagh,1217
147450,"Maa General Store"," House 135 "," Road Malibagh 1st Ln",Malibagh,1217
147453,"Ittadi Laundry"," House 135 "," Road Malibagh 1st Ln",Malibagh,1217
147455,"Shondha Hair Cutting"," House 135 "," Road Malibagh 1st Ln",Malibagh,1217
147460,"Uttara Auto"," House 83 "," Road Malibagh 1st Ln",Malibagh,1217
147464,"Aristo Nirjhor"," House 132/1"," Road Malibagh 1st Ln",Malibagh,1217
147466,N/A," House 84"," Road Malibagh 1st Ln",Malibagh,1217
147468,"Hafiz Villa"," House 132"," Road Malibagh 1st Ln",Malibagh,1217
147472,"Dom-Inno Endroit"," House 85",86," Road Malibagh 1st Ln",Malibagh,1217
147477,N/A," House 130/B"," Road Malibagh 1st Ln",Malibagh,1217
147481,N/A," House 133/5"," Road Malibagh 1st Ln",Malibagh,1217
147484,N/A," House 133/4"," Road Malibagh 1st Ln",Malibagh,1217
147492,"Tumazzel Hossain"," House 133/4 KA"," Road Malibagh 1st Ln",Malibagh,1217
147509,"Madrasatul Hera Al Islamia"," House 131/B"," Road Malibagh 1st Ln",Malibagh,1217
147513,N/A," House 131/5"," Road Malibagh 1st Ln","Malibagh ",1217
147517,"Baitul Aman"," House 131/A"," Road Malibagh 1st Ln",Malibagh,1217
147518,"House 131/1"," Road Malibagh 1st Ln","Malibagh ",1217
147522,Sriti," House 131 A/1"," Road Malibagh 1st Ln",Malibagh,0
147523,Chondrima," House 131/2"," Road Malibagh 1st Ln",Malibagh,1217
147526,N/A," House 131/4"," Road Malibagh 1st Ln",Malibagh,1217
147549,N/A," House N/A"," Malibagh College Road",Malibagh,1217
147550,"Dream House"," House 138/1"," Road Malibagh 1st Ln",Malibagh,1217
147551,"Saleha Kutir"," House 83"," Road Malibagh 1st Ln",Malibagh,1217
147552,N/A," House 130"," Road Malibagh 1st Ln",Malibagh,1217
147554,"Jannat Pharmacy"," House 88"," Road Malibagh 1st Ln",Malibagh,1217
147555,"Shahadat General Store"," House 88"," Road Malibagh 1st Ln",Malibagh,1217
147558,"Marti Chaya"," House 88"," Road Malibagh 1st Ln",Malibagh,1217
147559,"Ashraf Cottage"," House 88/A"," Road Malibagh 1st Ln",Malibagh,1217
147560,N/A," House N/A"," Road Malibagh 1st Ln",Malibagh,1217
147561,"Malek Engineering Works"," House 89/1"," Road Malibagh 1st Ln",Malibagh,1217
147562,"Bashar Refrigerator & Electronics"," House 89/1"," Road Malibagh 1st Ln",Malibagh,1217
147563,"National Youth Development & Technical Training Center"," House 89"," D.I.T Road",Malibagh,1217
147564,N/A," House 130/1"," Road Malibagh 1st Ln","Malibagh ",1217
147565,"Baitul Mamur Jame Masjid"," House N/A"," Road Malibagh 1st Ln","Malibagh ",1217
147566,N/A," House 91"," Road Malibagh 1st Ln","Malibagh ",1217
147567,N/A," House 129"," Road Malibagh 1st Ln","Malibagh ",1217
147568,"Rina Manjil"," House 93 "," Road Malibagh 1st Ln","Malibagh ",1217
147569,"Malibagh Super Shop"," House 97"," Road Malibagh 1st Ln","Malibagh ",1217
147570,"Asif Dry Cleaners"," House N/A"," Road Malibagh 1st Ln",Malibagh,1217
147571,"Aroma Beauty Saloon"," House 96"," Road Malibagh 1st",Malibagh,1217
147572,"Jannat Car Fashion"," House N/A"," Road Malibagh 1st Ln",Malibagh,0
147573,"New Arab Engineering Works"," House N/A"," Road Malibagh 1st Ln","Malibagh ",1217
147574,N/A," House 97"," Road Malibagh 1st Ln",Malibagh,1217
147575,"Doric Hossain Villa"," House N/A"," Road Malibagh 1st Ln",Malibagh,1217
147577,"Mahbub Ara Mansion"," House 97 "," Road Malibagh 1st Ln",Malibagh,1217
147580,"Mou General Store "," House 97"," Road Malibagh 1st Ln",Malibagh,1217
147582,"Meherunnesa Manjil"," House 124"," Road Malibagh 1st Ln",Malibagh,1217
147583,N/A," House 99"," Road Malibagh 1st Ln"," East Malibagh",1217
147585,Shoptorshi," House 123"," Road Malibagh 1st Ln","  Malibagh",1217
147588,N/A," House 100/B"," Road Malibagh 1st Ln","  Malibagh",1217
147589,"Talha International"," House 100/A "," Road Malibagh 1st Ln","  Malibagh",1217
147590,"Jamila Villa"," House 121"," Road Malibagh 1st Ln","  Malibagh",1217
147593,"Atisto Jahanara"," House 101"," Road Malibagh 1st Ln","  Malibagh",1217
147595,N/A," House 120"," Road Malibagh 1st Ln","  Malibagh",1217
147599,N/A," House 101/A "," Road Malibagh 1st Ln",Malibagh,1217
147600,N/A," House 119/A"," Road Malibagh 1st Ln",Malibagh,1217
147603,"Al Haz M.A. Mannan"," House 119/2"," Road Malibagh 1st Ln",Malibagh,1217
147604,"Markazul Islam Women Madrasa"," House 119/3"," Road Malibagh 1st Ln",Malibagh,1217
147605,"Hena Kutir"," House 173"," Road  Malibagh 1st Ln","East Malibagh",1217
147606,N/A," House 170"," Road  Malibagh 1st Ln Link","East Malibagh",1217
147607,N/A," House 175"," Road  Malibagh 1st Ln Link","East Malibagh",1217
147610,"Islam Pharmacy"," House 176","  Malibagh Bazar Road",Malibagh,1217
147612,"Alamin Laundry "," House 176","  Malibagh Bazar Road",Malibagh,1217
147615,"Sumaya Stationary"," House N/A"," Malibagh College Road",Malibagh,1217
147619,"Maer Ashirbad General store"," House 175"," Malibagh College Road",Malibagh,1217
147623,"Faruk Pharmacy"," House 176"," Malibagh College Road ",Malibagh,1217
147624,"Shadhona Medicine "," House 176"," Malibagh College Road ",Malibagh,1217
147682,"Plabon Bhoumik"," House 148"," Malibagh College Road",Malibagh,1217
147684,"Rashida Manjil"," House N/A"," Malibagh College Road",Malibagh,1217
147685,"Mukul Villa"," House 146"," Malibagh College Road",Malibagh,1217
147686,N/A," House 147"," Malibagh College Road",Malibagh,1217
147687,N/A," House 148/1"," Malibagh College Road",Malibagh,1217
147688,N/A," House N/A"," Malibagh College Road",Malibagh,1217
147693,"Kazi Enterprise"," House 196"," Malibagh College Road",Malibagh,1217
147696,"Bonna Rice"," House 196"," Malibagh College Road",Malibagh,1217
147699,"Polok Bakery"," House N/A"," Malibagh College Road",Malibagh,1217
147702,"Bakorkhani "," House N/A"," Malibagh College Road",Malibagh,1217
147705,"Kazi Farms Kitchen"," House 194"," Malibagh College Road",Malibagh,1217
147707,"Shotota Furniture"," House 194"," Malibagh College Road",Malibagh,1217
147711,"Allaher Dan Beding Store"," House 194"," Malibagh College Road",Malibagh,1217
149731,"Greate Smart Hair Cutting"," House N/A"," Malibagh College Road",Malibagh,1217
149747,N/A," House N/A"," Malibagh College Road",Malibagh,1217
149752,N/A," House N/A"," Malibagh College Road",Malibagh,1217
149762,N/A," House N/A"," Malibagh College Road",Malibagh,1217
149767,"Jabbar Foods"," House N/A"," Malibagh College Road",Malibagh,1217
149770,"Abujor Gifari College"," House N/A"," Malibagh College Road",Malibagh,1217
149773,"Kazi Villa"," House 192"," Malibagh College Road",Malibagh,1217
149778,"Bithi General Store"," House 192"," Malibagh College Road",Malibagh,1217
149784,"Nahar Manjil"," House 190/1"," Malibagh College Road",Malibagh,1217
149789,"Qulsum Placida"," House 189/1"," Malibagh College Road",Malibagh,1217
149796,"Ridge Huda"," House 189"," Malibagh College Road",Malibagh,1217
149803,"Shumon Tailors"," House 188/B"," Malibagh College Road",Malibagh,1217
149810,"M.R Zam Zam Departmental Store"," House N/A"," Malibagh College Road",Malibagh,1217
149815,N/A," House 188/A"," Malibagh College Road",Malibagh,1217
149830,"I.H Computer"," House 187"," Malibagh College Road",Malibagh,1217
149840,"Minar Market"," House N/A"," Malibagh College Road",Malibagh,1217
149855,"Dream Computer & Stationary"," House 187"," Malibagh College Road",Malibagh,1217
149869,"Adhora Garments"," House 187"," Malibagh College Road",Malibagh,1217
149877,"Baitul Aman Zame Masjid"," House N/A"," Malibagh College Road",Malibagh,1217
149883,"Comilla Hotel"," House 186"," Malibagh College Road",Malibagh,1217
149896,"Bismillah Telecom & Electronics"," House N/A"," Malibagh College Road",Malibagh,1217
149905,"Men's Club"," House 186"," Malibagh College Road",Malibagh,1217
149910,"R.R Telecom"," House N/A"," Malibagh College Road",Malibagh,1217
149912,"Chadpur Hotel"," House N/A"," Malibagh College Road",Malibagh,1217
149919,"Alam Treaders"," House 183 "," Malibagh Bazar Railgate",Malibagh,1217
149930,"Shipon Store"," House 199/3"," Malibagh Bazar Railgate",Malibagh,1217
149937,N/A," House N/A"," Malibagh Bazar Railgate",Malibagh,1217
149940,N/A," House 426"," Malibagh Bazar Railgate",Malibagh,1217
149942,N/A," House 425/3"," Malibagh Bazar Railgate",Malibagh,1217
149946,N/A," House 425"," Malibagh Bazar Railgate",Malibagh,1217
149949,"Omra Gori"," House 425/5"," Malibagh Bazar Railgate",Malibagh,1217
149959,"Newton Tea Marketing"," House 426"," Malibagh Bazar Railgate",Malibagh,1217
149973,"Bismillah Departmentaal Store"," House 183"," Malibagh Bazar Road",Malibagh,1217
149978,"New Chadpur Store"," House N/A"," Malibagh Bazar Road",Malibagh,1217
149983,"Alam Traders"," House 183"," Malibagh Bazar Road",Malibagh,1217
150021,"Sayma General Store"," House 181 "," Malibagh Bazar Road",Malibagh,1217
150034,N/A," House 182"," Malibagh Bazar Road",Malibagh,1217
150037,"Sahin Enterprises"," House 182"," Malibagh Bazar Road",Malibagh,1217
150039,"Rakib Hardware & Electronics"," House 181"," Malibagh Bazar Road",Malibagh,1217
150040,"Bhai Bhai Store"," House N/A"," Malibagh Bazar Road",Malibagh,1217
150051,"Yousuf Bakery"," House N/A"," Malibagh Bazar Road",Malibagh,1217
150057,"New Comilla Hair Saloon"," House N/A"," Malibagh Bazar Road",Malibagh,1217
150065,"MA Hair Cutting"," House GA-50"," Malibagh Bazar Road",Malibagh,1217
150070,"Barisal Store"," House N/A"," Malibagh Bazar Road",Malibagh,1217
150073,N/A," House N/A"," Malibagh Bazar Road",Malibagh,1217
150076,"Ma Moni Telecom"," House 168"," Malibagh Bazar Road",Malibagh,1217
150077,N/A," House 167"," Malibagh Bazar Road",Malibagh,1217
150078,N/A," House 168/3"," Malibagh Bazar Road",Malibagh,1217
150081,"Shaheed Faruk Ikbal Girls High School"," House 167"," Malibagh Bazar Road",Malibagh,1217
150085,"A.K Library"," House N/A"," Malibagh Bazar Road",Malibagh,1217
